rank,title,price,price_num,link,timestamp
56,식물나라 가벼운 수분 선 젤 60ml (단품/2개입),"13,800원 ~",13800.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223906&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=56,2025-08-13T02:53:01.927796+09:00
57,[태닝포차코/한정] 바이탈뷰티 메타그린 슬림업 60정 기획 (+포차코 파우치 증정),"28,320원",28320.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000229143&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=57,2025-08-13T02:53:01.980189+09:00
58,[수분진정] 아비브 어성초 카밍 토너 스킨부스터 더블 기획 (200ml+200ml),"27,300원",27300.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000155253&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=58,2025-08-13T02:53:02.029950+09:00
59,[한겹밀착커버] 에이프릴스킨 히어로쿠션 핑크에디션(본품+리필+퍼프2개),"24,900원 ~",24900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163765&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=59,2025-08-13T02:53:02.085246+09:00
60,[8월 올영픽] 아이오페 레티놀 슈퍼 바운스 세럼 30ml 한정기획 (+20ml+선앰플 20ml),"38,300원",38300.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224685&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=60,2025-08-13T02:53:02.125603+09:00
61,[8월올영픽/겔마스크] 메디힐 하이퍼 마스크 5+1매 2종 택 1 [콜라겐/히알루론산],"16,200원 ~",16200.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000216349&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=61,2025-08-13T02:53:02.179292+09:00
62,[고민영PICK/한정기획] 아벤느 이드랑스 에센스 인 로션 200ml 한정 기획 (+100ml*2) *수분 충전,"27,900원",27900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230424&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=62,2025-08-13T02:53:02.232079+09:00
63,[8월 올영픽/트러블 1등] 파티온 노스카나인 트러블 세럼 50ml 기획(+15ml+마스크 1매),"26,500원",26500.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219717&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=63,2025-08-13T02:53:02.275287+09:00
64,[올영 어워즈 1등 크림]에스트라 아토베리어365 크림 80ml,"33,000원",33000.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198320&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=64,2025-08-13T02:53:02.323479+09:00
65,[1등세럼] 브링그린 징크테카 트러블 세럼 기획 50ml 리필기획,"29,800원 ~",29800.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000228890&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=65,2025-08-13T02:53:02.374297+09:00
66,[테리백증정]해피바스 티트리시카 등드름 케어바디워시 900G,"8,900원 ~",8900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202527&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=66,2025-08-13T02:53:02.422299+09:00
67,[8월 올영픽/이사배브랜드] 투슬래시포 엔젤릭 새틴 쿠션 기획 (+파우치 증정),"37,800원 ~",37800.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231020&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=67,2025-08-13T02:53:02.471266+09:00
68,[1등미백앰플/대용량기획]메디큐브 PDRN 핑크 펩타이드 앰플 30ml 리필기획(본품 30ML+리필 50ML),"25,900원",25900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226498&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=68,2025-08-13T02:53:02.521674+09:00
69,[백태순삭] 라덴스 베럴 혀클리너 (블루/그레이),"8,460원 ~",8460.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000173609&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=69,2025-08-13T02:53:02.582253+09:00
70,[뷰티디바이스 1위] [광채토닝 메디큐브 부스터프로 쿠로미 에디션(+쿠로미헤드캡+세안밴드+디바이스클리너+스티커2종),"349,000원",349000.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224654&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=70,2025-08-13T02:53:02.626042+09:00
71,[8월 올영픽/대용량] 바이오가 등드름 바디워시 베타인살리실레이트 1000ml,"21,160원",21160.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209207&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=71,2025-08-13T02:53:02.666519+09:00
72,[수분진정/세럼증정] 닥터지 레드 블레미쉬 클리어 수딩 크림 70ml 증정기획 2종,"27,600원 ~",27600.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164615&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=72,2025-08-13T02:53:02.715109+09:00
73,[3년 연속 1위] 콜레올로지 PRO 600mg*30정/60정 (15일/1개월분),"16,900원 ~",16900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000175634&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=73,2025-08-13T02:53:02.765834+09:00
74,[8월 올영픽] [유시몰X헌터] 장화스탠더+퍼플코렉터 미백치약 106g*2,"25,900원",25900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230647&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=74,2025-08-13T02:53:02.812859+09:00
